co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi,timestamp
121.65,0.0,0.09,48.27,0.38,13.39,56.86,0.0,3,1775523600
122.08,0.0,0.1,49.03,0.39,13.57,58.38,0.0,3,1775527200
122.55,0.0,0.1,49.81,0.39,13.7,59.07,0.0,3,1775530800
122.64,0.01,0.09,51.1,0.4,13.9,59.45,0.0,3,1775534400
123.01,0.02,0.09,54.25,0.44,14.28,59.92,0.0,3,1775538000
123.06,0.02,0.09,59.31,0.48,14.67,59.81,0.0,3,1775541600
122.84,0.02,0.09,65.35,0.54,15.08,59.79,0.0,3,1775545200
122.23,0.02,0.1,71.17,0.61,15.69,60.65,0.0,3,1775548800
121.63,0.02,0.1,75.67,0.67,16.33,61.74,0.0,3,1775552400
121.49,0.02,0.11,79.89,0.73,17.02,63.24,0.0,3,1775556000
121.24,0.02,0.13,82.91,0.76,17.64,64.89,0.0,3,1775559600
121.16,0.02,0.15,84.86,0.78,18.3,66.76,0.0,3,1775563200
121.54,0.01,0.19,86.11,0.78,19.0,68.84,0.0,3,1775566800
121.57,0.0,0.23,84.85,0.76,19.73,71.59,0.0,3,1775570400
121.86,0.0,0.22,85.09,0.76,20.69,74.66,0.0,3,1775574000
122.64,0.0,0.22,88.38,0.77,21.9,77.83,0.0,3,1775577600
124.29,0.0,0.22,93.46,0.81,23.46,81.52,0.0,3,1775581200
126.64,0.0,0.21,100.17,0.86,25.25,85.17,0.01,3,1775584800
129.14,0.0,0.21,107.42,0.9,27.02,88.49,0.02,3,1775588400
131.74,0.0,0.21,115.18,0.95,28.56,90.7,0.04,3,1775592000
134.28,0.0,0.21,123.38,0.98,30.15,93.04,0.06,3,1775595600
136.8,0.0,0.21,131.68,1.01,31.64,95.04,0.11,3,1775599200
139.02,0.0,0.21,138.62,1.01,32.53,95.41,0.14,3,1775602800
139.95,0.0,0.2,142.91,0.97,32.43,93.41,0.15,4,1775606400
138.97,0.0,0.2,145.46,0.91,31.08,88.1,0.15,4,1775610000
137.57,0.0,0.21,147.24,0.86,29.39,82.67,0.14,4,1775613600
135.81,0.01,0.25,148.47,0.81,27.56,77.55,0.12,4,1775617200
134.18,0.01,0.22,149.15,0.79,25.77,72.9,0.1,4,1775620800
132.67,0.01,0.16,149.49,0.78,24.41,69.72,0.09,4,1775624400
131.89,0.01,0.13,148.86,0.78,23.68,68.48,0.07,4,1775628000
131.51,0.01,0.11,147.49,0.79,23.53,69.14,0.05,4,1775631600
131.59,0.01,0.1,145.88,0.81,23.9,71.25,0.02,4,1775635200
131.91,0.01,0.1,143.71,0.81,24.6,74.11,0.0,4,1775638800
132.89,0.01,0.1,142.47,0.81,25.48,77.53,0.0,4,1775642400
133.58,0.01,0.11,141.79,0.82,26.21,80.39,0.0,4,1775646000
134.33,0.01,0.13,141.72,0.82,26.69,82.34,0.0,4,1775649600
135.39,0.01,0.17,142.53,0.82,27.06,83.83,0.0,4,1775653200
136.3,0.0,0.21,143.02,0.82,27.37,84.9,0.0,4,1775656800
137.08,0.0,0.21,143.71,0.82,27.56,85.48,0.0,4,1775660400
137.3,0.0,0.19,143.5,0.82,27.51,85.23,0.0,4,1775664000
137.76,0.0,0.18,143.42,0.82,27.39,84.66,0.0,4,1775667600
137.93,0.0,0.17,143.23,0.81,27.18,83.94,0.0,4,1775671200
137.48,0.0,0.16,142.1,0.8,26.82,82.86,0.0,4,1775674800
137.29,0.0,0.15,141.19,0.79,26.5,82.04,0.0,4,1775678400
137.15,0.0,0.14,139.92,0.77,26.2,81.38,0.0,3,1775682000
137.44,0.0,0.13,138.46,0.75,25.9,80.62,0.0,3,1775685600
137.62,0.0,0.13,136.95,0.72,25.56,79.61,0.0,3,1775689200
138.03,0.0,0.12,135.4,0.69,25.27,78.7,0.0,3,1775692800
138.13,0.0,0.11,133.72,0.65,25.06,78.09,0.0,3,1775696400
138.25,0.0,0.12,132.47,0.62,25.02,78.02,0.0,3,1775700000
138.48,0.0,0.13,131.82,0.59,25.1,78.24,0.0,3,1775703600
137.78,0.01,0.1,130.97,0.58,25.21,78.45,0.0,3,1775707200
137.24,0.01,0.07,129.9,0.59,25.4,78.76,0.0,3,1775710800
136.36,0.01,0.06,128.23,0.6,25.53,78.85,0.0,3,1775714400
135.12,0.01,0.05,125.49,0.59,25.57,78.39,0.0,3,1775718000
133.61,0.01,0.05,122.59,0.55,25.47,77.63,0.0,3,1775721600
131.89,0.01,0.05,119.63,0.5,25.31,76.87,0.0,3,1775725200
130.47,0.01,0.05,117.52,0.46,25.09,76.18,0.0,3,1775728800
129.22,0.01,0.05,115.61,0.41,24.73,75.12,0.0,3,1775732400
128.06,0.01,0.06,114.79,0.37,24.46,74.27,0.0,3,1775736000
127.66,0.0,0.07,114.87,0.34,24.3,73.68,0.0,3,1775739600
127.26,0.0,0.09,115.17,0.33,24.12,72.99,0.0,3,1775743200
127.28,0.0,0.09,115.37,0.33,23.98,72.28,0.0,3,1775746800
127.25,0.0,0.09,115.32,0.32,23.86,71.53,0.0,3,1775750400
127.69,0.0,0.08,114.58,0.31,23.9,71.2,0.0,3,1775754000
128.52,0.0,0.08,113.78,0.31,23.92,70.76,0.0,3,1775757600
129.25,0.0,0.07,112.4,0.3,23.77,69.91,0.0,3,1775761200
129.79,0.0,0.07,111.38,0.29,23.56,69.0,0.0,3,1775764800
130.25,0.0,0.06,110.53,0.28,23.33,68.22,0.0,3,1775768400
130.71,0.0,0.06,109.42,0.27,23.09,67.58,0.0,3,1775772000
131.27,0.0,0.06,108.39,0.26,22.91,67.31,0.0,3,1775775600
131.69,0.0,0.06,107.58,0.25,22.81,67.46,0.0,3,1775779200
132.25,0.0,0.06,106.97,0.24,22.74,67.7,0.0,3,1775782800
132.68,0.0,0.06,106.12,0.24,22.7,67.91,0.0,3,1775786400
132.91,0.0,0.07,105.24,0.23,22.68,68.03,0.0,3,1775790000
133.21,0.01,0.06,104.11,0.25,22.64,68.01,0.01,3,1775793600
134.2,0.01,0.06,102.78,0.33,22.77,68.29,0.02,3,1775797200
135.86,0.01,0.07,101.39,0.5,23.19,68.86,0.02,3,1775800800
137.41,0.01,0.08,99.66,0.65,23.93,69.37,0.01,3,1775804400
138.14,0.01,0.08,97.36,0.68,24.63,69.39,0.0,3,1775808000
137.2,0.01,0.08,95.06,0.63,24.95,68.78,0.0,3,1775811600
134.71,0.01,0.07,92.97,0.5,24.53,67.28,0.0,3,1775815200
131.42,0.01,0.06,90.67,0.36,23.64,65.43,0.0,3,1775818800
128.57,0.01,0.05,89.12,0.26,22.77,63.98,0.0,3,1775822400
126.73,0.0,0.06,88.91,0.18,21.9,62.56,0.0,3,1775826000
126.41,0.0,0.07,88.15,0.13,21.59,62.17,0.0,3,1775829600
126.71,0.0,0.07,87.59,0.12,21.6,62.45,0.0,3,1775833200
126.97,0.0,0.06,87.43,0.12,21.69,62.88,0.0,3,1775836800
127.52,0.0,0.06,87.42,0.13,21.96,63.77,0.0,3,1775840400
127.89,0.0,0.06,87.66,0.15,22.24,64.88,0.0,3,1775844000
127.98,0.0,0.06,88.91,0.17,22.28,65.45,0.0,3,1775847600
127.89,0.0,0.06,91.26,0.2,22.01,65.44,0.0,3,1775851200
127.94,0.0,0.06,94.7,0.22,21.49,65.0,0.0,3,1775854800
128.98,0.0,0.07,99.07,0.24,20.9,64.61,0.0,3,1775858400
131.29,0.0,0.07,103.51,0.26,20.7,65.22,0.0,3,1775862000
134.43,0.0,0.07,107.69,0.28,21.28,67.81,0.0,3,1775865600
138.46,0.0,0.08,111.07,0.3,22.69,72.06,0.0,3,1775869200
141.86,0.0,0.09,113.02,0.33,24.5,76.42,0.0,3,1775872800
144.32,0.0,0.1,113.68,0.35,26.29,79.99,0.0,3,1775876400
144.89,0.01,0.08,112.78,0.35,27.49,81.45,0.0,3,1775880000
144.81,0.01,0.06,111.01,0.34,28.16,81.25,0.0,3,1775883600
144.14,0.01,0.06,108.17,0.32,28.39,80.15,0.0,3,1775887200
142.76,0.01,0.06,104.52,0.29,28.31,78.86,0.0,3,1775890800
141.28,0.01,0.06,100.79,0.28,28.08,77.8,0.0,3,1775894400
139.79,0.01,0.06,97.6,0.27,27.75,77.52,0.0,3,1775898000
138.97,0.01,0.06,95.28,0.26,27.54,77.96,0.0,3,1775901600
137.89,0.01,0.07,93.21,0.27,27.34,78.07,0.0,3,1775905200
136.75,0.01,0.08,92.0,0.27,27.17,77.9,0.0,3,1775908800
136.38,0.01,0.11,91.81,0.28,27.11,77.64,0.0,3,1775912400
136.03,0.0,0.15,91.77,0.29,27.0,76.98,0.0,3,1775916000
135.79,0.0,0.16,91.99,0.3,26.94,76.3,0.0,3,1775919600
135.41,0.0,0.16,92.49,0.3,26.8,74.76,0.0,3,1775923200
